Downloaded from https://mol.org on Oct 3, 2021. Inclusive species list based on approximate intersections with Political boundary polygon for the Mexico region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Phanus marshallii","Common Ghost-Skipper","Hesperiidae","Butterflies"
"Achlyodes pallida","Pale Sicklewing","Hesperiidae","Butterflies"
"Perophthalma lasus","Orange-Flushed Eyemark","Riodinidae","Butterflies"
"Itaballia pandosia","Brown-Bordered White","Pieridae","Butterflies"
"Anisochoria bacchus","Northern Snout-Skipper","Hesperiidae","Butterflies"
"Polites carus","Carus Skipper","Hesperiidae","Butterflies"
"Damas clavus","Violet-Washed Skipper","Hesperiidae","Butterflies"
"Aguna metophis","Tailed Aguna","Hesperiidae","Butterflies"
"Lemonias caliginea","Pine-Oak Lemmark","Riodinidae","Butterflies"
"Hypanartia trimaculata","null","Nymphalidae","Butterflies"
"Pteronymia simplex","Simple Clearwing","Nymphalidae","Butterflies"
"Eurytides epidaus","Guatemalan Kite-Swallowtail","Papilionidae","Butterflies"
"Heliconius erato","Erato Heliconian","Nymphalidae","Butterflies"
"Cyanophrys herodotus","Tropical Greenstreak","Lycaenidae","Butterflies"
"Vinpeius tinga","Blazing Skipper","Hesperiidae","Butterflies"
"Battus ingenuss","null","Papilionidae","Butterflies"
"Atlides polybe","Black-Veined Greatstreak","Lycaenidae","Butterflies"
"Taygetis virgilia","Cramer's Ur-Satyr","Nymphalidae","Butterflies"
"Dardarina dardaris","Pale-Edged Skipperling","Hesperiidae","Butterflies"
"Adelpha nea","null","Nymphalidae","Butterflies"
"Euselasia eucrates","Mousy Sombermark","Riodinidae","Butterflies"
"Caria mantinea","null","Riodinidae","Butterflies"
"Eresia clio","Creamy Crescent","Nymphalidae","Butterflies"
"Calephelis yucatana","Yucatan Scintillant","Riodinidae","Butterflies"
"Dalla nubes","Chiapas Skipperling","Hesperiidae","Butterflies"
"Megathecla cupentus","Cupent Hairstreak","Lycaenidae","Butterflies"
"Eueides aliphera","Least Heliconian","Nymphalidae","Butterflies"
"Udranomia kikkawai","Nervous Skipper","Hesperiidae","Butterflies"
"Adelpha salus","Lost Sister","Nymphalidae","Butterflies"
"Poanes zabulon","Zabulon Skipper","Hesperiidae","Butterflies"
"Calephelis dreisbachi","Sonoran Scintillant","Riodinidae","Butterflies"
"Poanes monticola","Evergreen Poan","Hesperiidae","Butterflies"
"Ochlodes samenta","West-Mexican Skipper","Hesperiidae","Butterflies"
"Ministrymon clytie","Clytie Ministreak","Lycaenidae","Butterflies"
"Carrhenes fuscescens","Closed-Spotted Hoary-Skipper","Hesperiidae","Butterflies"
"Synargis ochra","Dreamy Lemmark","Riodinidae","Butterflies"
"Cyanophrys fusius","White-Fringed Greenstreak","Lycaenidae","Butterflies"
"Eurema daira","Barred Yellow","Pieridae","Butterflies"
"Phanus rilma","Gapped Ghost-Skipper","Hesperiidae","Butterflies"
"Atrytonopsis frappenda","Honey-Banded Dusted-Skipper","Hesperiidae","Butterflies"
"Staphylus ceos","Golden-Headed Scallopwing","Hesperiidae","Butterflies"
"Cyllopsis suivalens","Dyar's Gemmed-Satyr","Nymphalidae","Butterflies"
"Carystoides basoches","Mauve-Washed Ruby-Eye","Hesperiidae","Butterflies"
"Calicosama lilina","White-Posted Metalmark","Riodinidae","Butterflies"
"Hamadryas julitta","Yucatan Cracker","Nymphalidae","Butterflies"
"Phocides belus","Beautiful Beamer","Hesperiidae","Butterflies"
"Chlorostrymon maesites","Amethyst Hairstreak","Lycaenidae","Butterflies"
"Vertica verticalis","Vertical Skipper","Hesperiidae","Butterflies"
"Asterocampa leilia","Empress Leilia","Nymphalidae","Butterflies"
"Chlosyne theona","Theona Checkerspot","Nymphalidae","Butterflies"
"Orthos gabina","Gabina Skipper","Hesperiidae","Butterflies"
"Phyciodes ptolyca","Black Crescent","Nymphalidae","Butterflies"
"Achlyodes mithridates","Sickle-Winged Skipper","Hesperiidae","Butterflies"
"Pyrrhopyge mulleri","Red-Spotted Firetip","Hesperiidae","Butterflies"
"Autochton neis","Spiky Banded-Skipper","Hesperiidae","Butterflies"
"Texola anomalus","Anomalous Checkerspot","Nymphalidae","Butterflies"
"Astraptes chiriquensis","Chiriqui Flasher","Hesperiidae","Butterflies"
"Pholisora catullus","Common Sootywing","Hesperiidae","Butterflies"
"Atrytonopsis ovinia","Sheep Skipper","Hesperiidae","Butterflies"
"Vanessa annabella","West Coast Lady","Nymphalidae","Butterflies"
"Euphydryas editha","Edith's Checkerspot","Nymphalidae","Butterflies"
"Zera tetrastigma","Least Zera","Hesperiidae","Butterflies"
"Michaelus phoenissa","Two-Banded Hairstreak","Lycaenidae","Butterflies"
"Anaea pithyusa","Pale-Spotted Leafwing","Nymphalidae","Butterflies"
"Zobera marginata","Many-Spotted Zober","Hesperiidae","Butterflies"
"Speyeria callippe","Callippe Fritillary","Nymphalidae","Butterflies"
"Morpho theseus","Short-Tailed Morpho","Nymphalidae","Butterflies"
"Arawacus hypocrita","Pallid Stripe-Streak","Lycaenidae","Butterflies"
"Mylon salvia","Evans' Mylon","Hesperiidae","Butterflies"
"Calephelis wellingi","Tabasco Scintillant","Riodinidae","Butterflies"
"Mimia chiapaensis","Mexican Mimia","Hesperiidae","Butterflies"
"Synapte syraces","'Bold' Faceted Skipper","Hesperiidae","Butterflies"
"Erynnis zarucco","Zarucco Duskywing","Hesperiidae","Butterflies"
"Phyciodes picta","Painted Crescent","Nymphalidae","Butterflies"
"Siproeta stelenes","Malachite","Nymphalidae","Butterflies"
"Urbanus viridis","Rare Longtail","Hesperiidae","Butterflies"
"Helias cama","Square Bent-Skipper","Hesperiidae","Butterflies"
"Achalarus albociliatus","Skinner's Cloudywing","Hesperiidae","Butterflies"
"Thaeides theia","Brown-Barred Hairstreak","Lycaenidae","Butterflies"
"Euselasia aurantiaca","Fiery Sombermark","Riodinidae","Butterflies"
"Adelpha lycorias","Rayed Sister","Nymphalidae","Butterflies"
"Mylon pelopidas","Dingy Mylon","Hesperiidae","Butterflies"
"Prepona pylene","Mottled Prepona","Nymphalidae","Butterflies"
"Siderus tephraeus","Pearly-Gray Hairstreak","Lycaenidae","Butterflies"
"Elbella scylla","Red-Collared Firetip","Hesperiidae","Butterflies"
"Camissecla vespasianus","Vesper Groundstreak","Lycaenidae","Butterflies"
"Pedaliodes napaea","Guatemalan Pedalio","Nymphalidae","Butterflies"
"Mechanitis menapis","Variable Tigerwing","Nymphalidae","Butterflies"
"Aides dysoni","Mimic-Drop Skipper","Hesperiidae","Butterflies"
"Euphydryas chalcedona","Variable Checkerspot","Nymphalidae","Butterflies"
"Adelpha milleri","Miller's Sister","Nymphalidae","Butterflies"
"Turnerina hazelae","Guerrero Giant-Skipper","Hesperiidae","Butterflies"
"Euselasia procula","Orange-Costa Sombermark","Riodinidae","Butterflies"
"Hamadryas februa","Gray Cracker","Nymphalidae","Butterflies"
"Boloria frisia","null","Nymphalidae","Butterflies"
"Pythonides rosa","Chiapas Blue-Skipper","Hesperiidae","Butterflies"
"Euselasia sergia","Transitional Sombermark","Riodinidae","Butterflies"
"Myscelus amystis","Rusty Mytip","Hesperiidae","Butterflies"
"Adelotypa eudocia","Tiny Adelo","Riodinidae","Butterflies"
"Lerodea dysaules","Olive-Clouded Skipper","Hesperiidae","Butterflies"
"Arawacus sito","Fine-Lined Stripe-Streak","Lycaenidae","Butterflies"
"Zera belti","Gaudy Zera","Hesperiidae","Butterflies"
"Agathymus comstocki","Baja Giant-Skipper","Hesperiidae","Butterflies"
"Callophrys xami","Xami Hairstreak","Lycaenidae","Butterflies"
"Papilio victorinus","Victorine Swallowtail","Papilionidae","Butterflies"
"Quasimellana aurora","Bright Mellana","Hesperiidae","Butterflies"
"Strymon istapa","Mallow Scrub-Hairstreak","Lycaenidae","Butterflies"
"Zischkaia pellonia","Plateau Satyr","Nymphalidae","Butterflies"
"Leptotes cassius","Cassius Blue","Lycaenidae","Butterflies"
"Parphorus decora","Decorated Brown-Skipper","Hesperiidae","Butterflies"
"Cyllopsis clinas","Falcate Gemmed-Satyr","Nymphalidae","Butterflies"
"Hemiargus isola","Reakirt's Blue","Lycaenidae","Butterflies"
"Amblyscirtes exoteria","Large Roadside-Skipper","Hesperiidae","Butterflies"
"Paramacera copiosa","Oaxacan Pine-Satyr","Nymphalidae","Butterflies"
"Lieinix lana","null","Pieridae","Butterflies"
"Decinea lucifer","Lucifer's Skipper","Hesperiidae","Butterflies"
"Adelpha donysa","Montane Sister","Nymphalidae","Butterflies"
"Phoebis argante","Apricot Sulphur","Pieridae","Butterflies"
"Dalla ligilla","Black-Barred Skipperling","Hesperiidae","Butterflies"
"Vehilius inca","Inca Brown-Skipper","Hesperiidae","Butterflies"
"Aguna asander","Gold-Spotted Aguna","Hesperiidae","Butterflies"
"Phanes almoda","null","Hesperiidae","Butterflies"
"Greta morgane","Thick-Tipped Greta","Nymphalidae","Butterflies"
"Cynea irma","Foggy Cynea","Hesperiidae","Butterflies"
"Noctuana lactifera","White-Haired Skipper","Hesperiidae","Butterflies"
"Piruna kemneri","Gold-Flocked Skipperling","Hesperiidae","Butterflies"
"Atrytonopsis edwardsii","Sheep Skipper","Hesperiidae","Butterflies"
"Brevianta hyas","Grizzled Hairstreak","Lycaenidae","Butterflies"
"Laothus barajo","Smoky Elstreak","Lycaenidae","Butterflies"
"Calephelis maya","Mayan Scintillant","Riodinidae","Butterflies"
"Hypna clytemnestra","Jazzy Leafwing","Nymphalidae","Butterflies"
"Strymon serapio","Bromeliad Scrub-Hairstreak","Lycaenidae","Butterflies"
"Dismorphia theucharila","Clearwinged Mimic-White","Pieridae","Butterflies"
"Yphthimoides renata","Renata's Satyr","Nymphalidae","Butterflies"
"Synale cynaxa","Black-Veined Ruby-Eye","Hesperiidae","Butterflies"
"Speyeria hegesia","null","Nymphalidae","Butterflies"
"Chlosyne gaudialis","Gaudy Patch","Nymphalidae","Butterflies"
"Ocaria ocrisia","Black Hairstreak","Lycaenidae","Butterflies"
"Celaenorrhinus fritzgaertneri","Fritzgaertner's Flat","Hesperiidae","Butterflies"
"Satyrium auretorum","Gold-Hunter's Hairstreak","Lycaenidae","Butterflies"
"Nymphidium onaeum","Red-Spotted Hemmark","Riodinidae","Butterflies"
"Cephise guatemalaensis","Guatemalan Scarlet-Eye","Hesperiidae","Butterflies"
"Staphylus iguala","Bell's Scallopwing","Hesperiidae","Butterflies"
"Polythrix octomaculata","Eight-Spotted Longtail","Hesperiidae","Butterflies"
"Aguna coeloides","Ochre-Striped Aguna","Hesperiidae","Butterflies"
"Pyrrhopyge jonas","Wavy-Edged Firetip","Hesperiidae","Butterflies"
"Michaelus hecate","Blotchy Hairstreak","Lycaenidae","Butterflies"
"Ziegleria denarius","Coppery Groundstreak","Lycaenidae","Butterflies"
"Phyciodes drymaea","Weak-Bandedcrescent","Nymphalidae","Butterflies"
"Polites puxillius","Parachute Skipper","Hesperiidae","Butterflies"
"Celaenorrhinus monartus","Dotted Flat","Hesperiidae","Butterflies"
"Amblyscirtes celia","Celia's Roadside-Skipper","Hesperiidae","Butterflies"
"Euchloe hyantis","Pearly Marble","Pieridae","Butterflies"
"Atlides halesus","Great Purple Hairstreak","Lycaenidae","Butterflies"
"Nymphalis californica","California Tortoiseshell","Nymphalidae","Butterflies"
"Atrytonopsis lunus","Moon-Marked Skipper","Hesperiidae","Butterflies"
"Chlosyne rosita","Rosita Patch","Nymphalidae","Butterflies"
"Cyllopsis hilaria","Patchy Gemmed-Satyr","Nymphalidae","Butterflies"
"Hesperia pahaska","Pahaska Skipper","Hesperiidae","Butterflies"
"Strymon melinus","Gray Hairstreak","Lycaenidae","Butterflies"
"Philotiella speciosa","Small Blue","Lycaenidae","Butterflies"
"Electrostrymon sangala","Ruddy Hairstreak","Lycaenidae","Butterflies"
"Morys geisa","Violet-Studded Skipper","Hesperiidae","Butterflies"
"Baeotis barce","Tiny Yellowmark","Riodinidae","Butterflies"
"Urbanus pronta","Interrupted Longtail","Hesperiidae","Butterflies"
"Agathymus stephensi","California Giant-Skipper","Hesperiidae","Butterflies"
"Ancyloxypha numitor","Least Skipper","Hesperiidae","Butterflies"
"Anaea arginussa","null","Nymphalidae","Butterflies"
"Astraptes enotrus","White-Spotted Flasher","Hesperiidae","Butterflies"
"Vanessa atalanta","Red Admiral","Nymphalidae","Butterflies"
"Papias phainis","Somber Skipper","Hesperiidae","Butterflies"
"Papias subcostulata","Jungle Skipper","Hesperiidae","Butterflies"
"Marpesia chiron","Many-Banded Daggerwing","Nymphalidae","Butterflies"
"Nicolaea heraldica","Heraldic Hairstreak","Lycaenidae","Butterflies"
"Flaccilla aecas","Milky Ruby-Eye","Hesperiidae","Butterflies"
"Carystoides sicania","Old Ruby-Eye","Hesperiidae","Butterflies"
"Brangas coccineifrons","Black-Veined Brangas","Lycaenidae","Butterflies"
"Drephalys dumeril","Sunset Paradise-Skipper","Hesperiidae","Butterflies"
"Polites themistocles","Tawny-Edged Skipper","Hesperiidae","Butterflies"
"Carystoides hondura","Honduran Ruby-Eye","Hesperiidae","Butterflies"
"Niconiades nikko","Olive Nicon","Hesperiidae","Butterflies"
"Adelpha serpa","Celadon Sister","Nymphalidae","Butterflies"
"Staphylus lenis","Steinhauser's Scallopwing","Hesperiidae","Butterflies"
"Pellicia angra","Confused Pellicia","Hesperiidae","Butterflies"
"Anaea neidhoeferi","null","Nymphalidae","Butterflies"
"Oxeoschistus hilara","Dot-Banded Oxeo","Nymphalidae","Butterflies"
"Papilio andraemon","Bahamian Swallowtail","Papilionidae","Butterflies"
"Itaballia demophile","Cross-Barred White","Pieridae","Butterflies"
"Myscelia cyaniris","Cyan Bluewing","Nymphalidae","Butterflies"
"Euphyes peneia","Guardpost Sedge-Skipper","Hesperiidae","Butterflies"
"Polythrix asine","Dark-Spotted Polythrix","Hesperiidae","Butterflies"
"Hypanartia lethe","Orange Mapwing","Nymphalidae","Butterflies"
"Panoquina panoquin","Salt Marsh Skipper","Hesperiidae","Butterflies"
"Astraptes egregius","Small-Spotted Flasher","Hesperiidae","Butterflies"
"Ministrymon azia","Gray Ministreak","Lycaenidae","Butterflies"
"Eurema nicippe","Sleepy Orange","Pieridae","Butterflies"
"Notheme erota","Two-Oranges Metalmark","Riodinidae","Butterflies"
"Tmolus crolinus","Butler's Midistreak","Lycaenidae","Butterflies"
"Anartia fatima","Banded Peacock","Nymphalidae","Butterflies"
"Astraptes brevicauda","Short-Tailed Flasher","Hesperiidae","Butterflies"
"Hesperocharis graphites","Black-Pointed Tile-White","Pieridae","Butterflies"
"Papilio anchisiades","Ruby-Spotted Swallowtail","Papilionidae","Butterflies"
"Plebejus acmon","Acmon Blue","Lycaenidae","Butterflies"
"Niconiades incomptus","Half-Tailed Nicon","Hesperiidae","Butterflies"
"Euselasia argentea","Orange-Spotted Sombermark","Riodinidae","Butterflies"
"Pteronymia rufocincta","Brown-Rimmed Clearwing","Nymphalidae","Butterflies"
"Erynnis tristis","Mournful Duskywing","Hesperiidae","Butterflies"
"Entheus matho","Blushing Enskipper","Hesperiidae","Butterflies"
"Euphilotes battoides","Square-Spotted Blue","Lycaenidae","Butterflies"
"Piruna ceracates","Veracruz Skipperling","Hesperiidae","Butterflies"
"Eurema lisa","Little Yellow","Pieridae","Butterflies"
"Mnasicles hicetaon","Gray Brown-Skipper","Hesperiidae","Butterflies"
"Napeogenes tolosa","Tollhouse Ticlear","Nymphalidae","Butterflies"
"Chlorostrymon telea","Telea Hairstreak","Lycaenidae","Butterflies"
"Rekoa palegon","Gold-Bordered Hairstreak","Lycaenidae","Butterflies"
"Vanessa cardui","Painted Lady","Nymphalidae","Butterflies"
"Phyciodes texana","Texan Crescent","Nymphalidae","Butterflies"
"Emesis tegula","Bow-Winged Tanmark","Riodinidae","Butterflies"
"Chiomara mithrax","Slaty Skipper","Hesperiidae","Butterflies"
"Euphilotes rita","Rita's Blue","Lycaenidae","Butterflies"
"Euselasia regipennis","Purple-Topped Sombermark","Riodinidae","Butterflies"
"Ridens crison","Many-Spotted Ridens","Hesperiidae","Butterflies"
"Theritas hemon","Pale-Clubbed Greatstreak","Lycaenidae","Butterflies"
"Adelpha salmoneus","Golden-Banded Sister","Nymphalidae","Butterflies"
"Caligo telamonius","null","Nymphalidae","Butterflies"
"Urbanus proteus","Long-Tailed Skipper","Hesperiidae","Butterflies"
"Astraptes apastus","Broad-Banded Flasher","Hesperiidae","Butterflies"
"Adelpha paroeca","Eyed Sister","Nymphalidae","Butterflies"
"Dalla bubobon","Ring-Spotted Skipperling","Hesperiidae","Butterflies"
"Heliconius sapho","White-Patched Heliconian","Nymphalidae","Butterflies"
"Urbanus teleus","Teleus Longtail","Hesperiidae","Butterflies"
"Thisbe lycorias","Fox-Face Lemmark","Riodinidae","Butterflies"
"Epargyreus spinosa","Weak-Frosted Silverdrop","Hesperiidae","Butterflies"
"Urbanus fulgerator","null","Hesperiidae","Butterflies"
"Adelpha erotia","Stitched Sister","Nymphalidae","Butterflies"
"Bolla cyclops","Cyclops Bolla","Hesperiidae","Butterflies"
"Codatractus sallyae","null","Hesperiidae","Butterflies"
"Agraulis vanillae","Gulf Fritillary","Nymphalidae","Butterflies"
"Plebejus lupini","Lupine Blue","Lycaenidae","Butterflies"
"Proteides mercurius","Mercurial Skipper","Hesperiidae","Butterflies"
"Corticea corticea","Redundant Skipper","Hesperiidae","Butterflies"
"Hamadryas iphthime","Brownish Cracker","Nymphalidae","Butterflies"
"Enosis immaculata","Immaculate Brown-Eye","Hesperiidae","Butterflies"
"Polites vibex","Whirlabout","Hesperiidae","Butterflies"
"Ziegleria hesperitis","Common Groundstreak","Lycaenidae","Butterflies"
"Taygetis thamyra","Chocolate Ur-Satyr","Nymphalidae","Butterflies"
"Bolla solitaria","Solitary Bolla","Hesperiidae","Butterflies"
"Atrytonopsis vierecki","Viereck's Skipper","Hesperiidae","Butterflies"
"Mnasilus allubita","Greenish Brown-Skipper","Hesperiidae","Butterflies"
"Calycopis clarina","White-Striped Groundstreak","Lycaenidae","Butterflies"
"Thereus ortalus","Kissing Hairstreak","Lycaenidae","Butterflies"
"Eurytides dioxippus","Thick-Bordered Kite-Swallowtail","Papilionidae","Butterflies"
"Anaea xenocles","null","Nymphalidae","Butterflies"
"Necyria duellona","Ray-Bordered Metalmark","Riodinidae","Butterflies"
"Ochlodes agricola","Rural Skipper","Hesperiidae","Butterflies"
"Tmolus echion","Red-Spotted Hairstreak","Lycaenidae","Butterflies"
"Coenonympha tullia","Common Ringlet","Nymphalidae","Butterflies"
"Anaea hedemanni","Double-Banded Leafwing","Nymphalidae","Butterflies"
"Oarisma era","Black-And-White-Veined Skipper","Hesperiidae","Butterflies"
"Megisto rubricata","Red Satyr","Nymphalidae","Butterflies"
"Hesperia viridis","Green Skipper","Hesperiidae","Butterflies"
"Dynastor darius","Bromeliad Owl-Butterfly","Nymphalidae","Butterflies"
"Heliconius hortense","Mexican Heliconian","Nymphalidae","Butterflies"
"Janthecla janthina","Brilliant Janstreak","Lycaenidae","Butterflies"
"Niconiades viridis","Three-Spotted Nicon","Hesperiidae","Butterflies"
"Paratrytone raspa","Black-Patched Poan","Hesperiidae","Butterflies"
"Juditha caucana","null","Riodinidae","Butterflies"
"Heliconius cydno","Grinning Heliconian","Nymphalidae","Butterflies"
"Speyeria claudia","null","Nymphalidae","Butterflies"
"Staphylus azteca","Aztec Scallopwing","Hesperiidae","Butterflies"
"Heliopetes arsalte","Veined White-Skipper","Hesperiidae","Butterflies"
"Baeotis zonata","Square-Spotted Yellowmark","Riodinidae","Butterflies"
"Panthiades bathildis","Zebra Cross-Streak","Lycaenidae","Butterflies"
"Adelpha ethelda","Ecuadorean Sister","Nymphalidae","Butterflies"
"Euptoieta claudia","Variegated Fritillary","Nymphalidae","Butterflies"
"Amblyscirtes anubis","Half-Edged Roadside-Skipper","Hesperiidae","Butterflies"
"Virga virginius","Yellow-Veined Brown-Skipper","Hesperiidae","Butterflies"
"Lasaia meris","Variegated Bluemark","Riodinidae","Butterflies"
"Calephelis mexicana","Mexican Scintillant","Riodinidae","Butterflies"
"Calephelis matheri","Mather's Scintillant","Riodinidae","Butterflies"
"Synapte salenus","'West-Mexican' Salenus Skipper","Hesperiidae","Butterflies"
"Polites sabuleti","Sandhill Skipper","Hesperiidae","Butterflies"
"Typhedanus salas","Pale-Lined Longtail","Hesperiidae","Butterflies"
"Colobura annulata","New Beauty","Nymphalidae","Butterflies"
"Vacerra cervara","Steinhauser's Therra","Hesperiidae","Butterflies"
"Piruna roeveri","Two-Rayed Skipperling","Hesperiidae","Butterflies"
"Epiphile adrasta","Common Banner","Nymphalidae","Butterflies"
"Ectima erycinoides","Northern Crackerlet","Nymphalidae","Butterflies"
"Emesis vulpina","Guatemalan Tanmark","Riodinidae","Butterflies"
"Enosis matheri","Mather's Brown-Eye","Hesperiidae","Butterflies"
"Calycopis atnius","Black-And-Blue Groundstreak","Lycaenidae","Butterflies"
"Cephise aelius","Longtailed Scarlet-Eye","Hesperiidae","Butterflies"
"Epargyreus exadeus","Broken Silverdrop","Hesperiidae","Butterflies"
"Repens florus","null","Hesperiidae","Butterflies"
"Boloria polaris","Polaris Fritillary","Nymphalidae","Butterflies"
"Dalla mentor","South-Mexican Skipperling","Hesperiidae","Butterflies"
"Arawacus jada","Creamy Stripe-Streak","Lycaenidae","Butterflies"
"Bolla saletas","Coppery Bolla","Hesperiidae","Butterflies"
"Celastrina argiolus","Spring/Summer Azure","Lycaenidae","Butterflies"
"Papilio multicaudatus","Two-Tailed Swallowtail","Papilionidae","Butterflies"
"Polythrix mexicanus","Mexican Longtail","Hesperiidae","Butterflies"
"Phanes aletes","Squiggly Brown-Skipper","Hesperiidae","Butterflies"
"Lyropteryx lyra","Cherry-Bordered Metalmark","Riodinidae","Butterflies"
"Taygetis uzza","Deep-Forest Ur-Satyr","Nymphalidae","Butterflies"
"Emesis ocypore","Dark Tanmark","Riodinidae","Butterflies"
"Quasimellana mulleri","Mexican Mellana","Hesperiidae","Butterflies"
"Anteros formosus","Black-Bellied Jewelmark","Riodinidae","Butterflies"
"Asterocampa idyja","'Cream-Banded' Dusky Emp.","Nymphalidae","Butterflies"
"Thorybes pylades","Northern Cloudywing","Hesperiidae","Butterflies"
"Erynnis juvenalis","Juvenal's Duskywing","Hesperiidae","Butterflies"
"Melanis pixe","Red-Bordered Pixie","Riodinidae","Butterflies"
"Cyllopsis dospassosi","East-Mexican Gemmed-Satyr","Nymphalidae","Butterflies"
"Cyllopsis suivalenoides","Big-Eyed Gemmed-Satyr","Nymphalidae","Butterflies"
"Eunica malvina","Rayed Purplewing","Nymphalidae","Butterflies"
"Adelpha malea","Venezuelan Sister","Nymphalidae","Butterflies"
"Eurybia patrona","Great Sheenmark","Riodinidae","Butterflies"
"Lerema liris","Liris Skipper","Hesperiidae","Butterflies"
"Strymon bebrycia","Red-Lined Scrub-Hairstreak","Lycaenidae","Butterflies"
"Greta andromica","Curvy-Veined Greta","Nymphalidae","Butterflies"
"Phyciodes nebulosa","Blurry Crescent","Nymphalidae","Butterflies"
"Hemiargus ceraunus","Ceraunus Blue","Lycaenidae","Butterflies"
"Mesene croceella","Guatemalan Geomark","Riodinidae","Butterflies"
"Ithomia leila","Leila's Ithomia","Nymphalidae","Butterflies"
"Azonax typhaon","Big-Spotted Mytip","Hesperiidae","Butterflies"
"Contrafacia ahola","Hash-Mark Hairstreak","Lycaenidae","Butterflies"
"Ziegleria micandriana","Guatemalan Groundstreak","Lycaenidae","Butterflies"
"Papilio torquatus","Band-Gapped Swallowtail","Papilionidae","Butterflies"
"Calephelis fulmen","Strong-Spotted Scintillant","Riodinidae","Butterflies"
"Parides alopius","White-Dotted Cattleheart","Papilionidae","Butterflies"
"Rekoa stagira","Smudged Hairstreak","Lycaenidae","Butterflies"
"Calephelis montezuma","Montezuma's Scintillant","Riodinidae","Butterflies"
"Colias eurytheme","Orange Sulphur","Pieridae","Butterflies"
"Mnaseas bicolor","Dull Brown-Skipper","Hesperiidae","Butterflies"
"Vettius lafrenaye","Two-Toned Fantastic-Skipper","Hesperiidae","Butterflies"
"Paiwarria umbratus","Thick-Tailed Hairstreak","Lycaenidae","Butterflies"
"Calpodes ethlius","Brazilian Skipper","Hesperiidae","Butterflies"
"Euptychia rubrofasciata","Reddish Satyr","Nymphalidae","Butterflies"
"Atrytonopsis pittacus","White-Barred Skipper","Hesperiidae","Butterflies"
"Callophrys augustus","null","Lycaenidae","Butterflies"
"Papilio pharnaces","Pink-Spotted Swallowtail","Papilionidae","Butterflies"
"Emesis fatimella","Sharp Tanmark","Riodinidae","Butterflies"
"Tmolus azia","null","Lycaenidae","Butterflies"
"Marpesia harmonia","Pale Daggerwing","Nymphalidae","Butterflies"
"Rekoa marius","Marius Hairstreak","Lycaenidae","Butterflies"
"Ziegleria syllis","Confused Groundstreak","Lycaenidae","Butterflies"
"Baeotis sulphurea","Polka-Dotted Yellowmark","Riodinidae","Butterflies"
"Cynea anthracinus","Yellow-Bottomed Cynea","Hesperiidae","Butterflies"
"Pythonides jovianus","Shining Blue-Skipper","Hesperiidae","Butterflies"
"Pereute charops","Surprising White","Pieridae","Butterflies"
"Wallengrenia otho","Southern Broken-Dash","Hesperiidae","Butterflies"
"Cyllopsis steinhauserorum","Cloud-Forest Gemmed-Satyr","Nymphalidae","Butterflies"
"Bolla orsines","Godman's Bolla","Hesperiidae","Butterflies"
"Polythrix metallescens","null","Hesperiidae","Butterflies"
"Calephelis perditalis","Rounded Metalmark","Riodinidae","Butterflies"
"Nyctelius nyctelius","Violet-Banded Skipper","Hesperiidae","Butterflies"
"Temecla paron","Paron Hairstreak","Lycaenidae","Butterflies"
"Hamadryas atlantis","Black-Patched Cracker","Nymphalidae","Butterflies"
"Agrias aedon","Great Agrias","Nymphalidae","Butterflies"
"Calephelis argyrodines","Bates' Scintillant","Riodinidae","Butterflies"
"Emesis mandana","Great Tanmark","Riodinidae","Butterflies"
"Phanus albiapicalis","White-Tipped Ghost-Skipper","Hesperiidae","Butterflies"
"Myrinia raymundo","Tabasco Skipper","Hesperiidae","Butterflies"
"Cissia pseudoconfusa","Gold-Stained Satyr","Nymphalidae","Butterflies"
"Adelpha diazi","Mexican Sister","Nymphalidae","Butterflies"
"Antigonus corrosus","Royal Spurwing","Hesperiidae","Butterflies"
"Pyrrhopyge erythrosticta","Dotted Firetip","Hesperiidae","Butterflies"
"Olyras theon","Rusty Ticlear","Nymphalidae","Butterflies"
"Opsiphanes quiteria","Scalloped Owlet","Nymphalidae","Butterflies"
"Sarota gamelia","Bar-Coded Jewelmark","Riodinidae","Butterflies"
"Euptychia fetna","Spiky Satyr","Nymphalidae","Butterflies"
"Spathilepia clonius","Falcate Skipper","Hesperiidae","Butterflies"
"Evenus regalis","Regal Greatstreak","Lycaenidae","Butterflies"
"Tegosa guatemalena","Guatemalan Tegosa","Nymphalidae","Butterflies"
"Cyllopsis windi","Stub-Tailed Gemmed-Satyr","Nymphalidae","Butterflies"
"Hesperia comma","Common Branded Skipper","Hesperiidae","Butterflies"
"Oarisma garita","Garita Skipperling","Hesperiidae","Butterflies"
"Hamadryas amphinome","Red Cracker","Nymphalidae","Butterflies"
"Justinia phaetusa","Salianish Skipper","Hesperiidae","Butterflies"
"Doxocopa laurentia","Turquoise Emperor","Nymphalidae","Butterflies"
"Phyciodes dracaena","Notched Crescent","Nymphalidae","Butterflies"
"Ouleus fridericus","Geyer's Zera","Hesperiidae","Butterflies"
"Celmia conoveria","Base-Line Hairstreak","Lycaenidae","Butterflies"
"Anteos maerula","Yellow Angled-Sulphur","Pieridae","Butterflies"
"Monca jera","Mexican Brown-Skipper","Hesperiidae","Butterflies"
"Cissia cleophes","Salvin's Satyr","Nymphalidae","Butterflies"
