Downloaded from https://mol.org on Oct 3, 2021. Inclusive species list based on approximate intersections with Political boundary polygon for the Mexico region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Haematopus bachmani","Black Oystercatcher","Haematopodidae","Birds"
"Eucometis penicillata","Grey-Headed Tanager","Thraupidae","Birds"
"Atthis ellioti","Wine-Throated Hummingbird","Trochilidae","Birds"
"Oceanodroma castro","Madeiran Storm-Petrel","Hydrobatidae","Birds"
"Megascops asio","Eastern Screech Owl","Strigidae","Birds"
"Helmitheros vermivorum","Worm-Eating Warbler","Parulidae","Birds"
"Oceanodroma macrodactyla","Guadalupe Storm Petrel","Hydrobatidae","Birds"
"Notharchus hyperrhynchus","White-Necked Puffbird","Bucconidae","Birds"
"Meleagris ocellata","Ocellated Turkey","Phasianidae","Birds"
"Junco phaeonotus","Yellow-Eyed Junco","Emberizidae","Birds"
"Pulsatrix perspicillata","Spectacled Owl","Strigidae","Birds"
"Laniocera rufescens","Speckled Mourner","Cotingidae","Birds"
"Xiphorhynchus erythropygius","Spotted Woodcreeper","Dendrocolaptidae","Birds"
"Ictinia plumbea","Plumbeous Kite","Accipitridae","Birds"
"Euphonia minuta","White-Vented Euphonia","Thraupidae","Birds"
"Molothrus aeneus","Bronzed Cowbird","Icteridae","Birds"
"Melozone fuscus","null","Emberizidae","Birds"
"Athene cunicularia","Burrowing Owl","Strigidae","Birds"
"Eurypyga helias","Sunbittern","Eurypygidae","Birds"
"Cercomacra tyrannina","Dusky Antbird","Thamnophilidae","Birds"
"Caracara cheriway","Crested Caracara","Falconidae","Birds"
"Pelecanus occidentalis","Brown Pelican","Pelecanidae","Birds"
"Pyrocephalus rubinus","Vermillion Flycatcher","Tyrannidae","Birds"
"Psaltriparus minimus","Bushtit","Aegithalidae","Birds"
"Branta canadensis","Canada Goose","Anatidae","Birds"
"Ictinia mississippiensis","Mississippi Kite","Accipitridae","Birds"
"Riparia riparia","Sand Martin","Hirundinidae","Birds"
"Tyrannus melancholicus","Tropical Kingbird","Tyrannidae","Birds"
"Phalacrocorax pelagicus","Pelagic Cormorant","Phalacrocoracidae","Birds"
"Aquila chrysaetos","Golden Eagle","Accipitridae","Birds"
"Anas acuta","Northern Pintail","Anatidae","Birds"
"Cynanthus latirostris","Broad-Billed Hummingbird","Trochilidae","Birds"
"Oporornis philadelphia","Mourning Warbler","Parulidae","Birds"
"Uropsila leucogastra","White-Bellied Wren","Troglodytidae","Birds"
"Lepidocolaptes affinis","Spot-Crowned Woodcreeper","Dendrocolaptidae","Birds"
"Melospiza lincolnii","Lincoln's Sparrow","Emberizidae","Birds"
"Empidonax occidentalis","Cordilleran Flycatcher","Tyrannidae","Birds"
"Vireo flavifrons","Yellow-Throated Vireo","Vireonidae","Birds"
"Icterus mesomelas","Yellow-Tailed Oriole","Icteridae","Birds"
"Piranga olivacea","Scarlet Tanager","Cardinalidae","Birds"
"Aratinga nana","Olive-Throated Conure","Psittacidae","Birds"
"Larus thayeri","Thayer's Gull","Laridae","Birds"
"Caprimulgus maculicaudus","Spot Tailed Nightjar","Caprimulgidae","Birds"
"Chiroxiphia linearis","Long-Tailed Manakin","Pipridae","Birds"
"Leptopogon amaurocephalus","Sepia-Capped Leptopogon","Tyrannidae","Birds"
"Claravis pretiosa","Blue Ground-Dove","Columbidae","Birds"
"Pardirallus maculatus","Spotted Rail","Rallidae","Birds"
"Atlapetes albinucha","White-Naped Brush-Finch","Emberizidae","Birds"
"Arremon virenticeps","Green Striped Brush Finch","Emberizidae","Birds"
"Empidonax alnorum","Alder Flycatcher","Tyrannidae","Birds"
"Buteo nitidus","Grey Hawk","Accipitridae","Birds"
"Melanitta nigra","Common Scoter","Anatidae","Birds"
"Euphonia affinis","Scrub Euphonia","Thraupidae","Birds"
"Saltator atriceps","Black-Headed Saltator","Cardinalidae","Birds"
"Amblycercus holosericeus","Yellow-Billed Cacique","Icteridae","Birds"
"Stercorarius parasiticus","Arctic Skua","Stercorariidae","Birds"
"Patagioenas flavirostris","Red-Billed Pigeon","Columbidae","Birds"
"Campylorhynchus brunneicapillus","Cactus Wren","Troglodytidae","Birds"
"Scolopax minor","American Woodcock","Scolopacidae","Birds"
"Larus glaucoides","Iceland Gull","Laridae","Birds"
"Cochlearius cochlearius","Boat-Billed Heron","Ardeidae","Birds"
"Aphelocoma californica","Western Scrub Jay","Corvidae","Birds"
"Heliothryx barroti","Purple-Crowned Fairy","Trochilidae","Birds"
"Aimophila ruficeps","Rufous-Crowned Sparrow","Emberizidae","Birds"
